,clean_text,Dominant_Topic
29,early modern period begin th century mughal empire conquer indian subcontinent signal proto industrialization become big global economy manufacture power nominal gdp value quarter world gdp superior combination europe gdp,5
30,mughals suffer gradual decline early th century provide opportunity marathas sikhs mysoreans nizams nawabs bengal exercise control large region indian subcontinent mid th century mid th century large region india gradually annexed east india company charter company act sovereign power behalf british government,4
31,dissatisfaction company rule india lead indian rebellion rock part north central india lead dissolution company,5
32,india afterwards rule directly british crown british raj,1
33,world war nationwide struggle independence launch indian national congress lead mahatma gandhi note nonviolence,1
34,later india muslim league would advocate separate muslim majority nation state,5
35,british indian empire partition august dominion india dominion pakistan gain independence,1
36,prehistoric era c bce,0
37,,5
38,paleolithic,0
39,hominin expansion africa estimate reach indian subcontinent approximately two million year ago possibly early million year present,2
40,date base know presence homo erectus indonesia million year present east asia million year present well discovery stone tool make proto human soan river valley riwat pabbi hill present day pakistan verification need although old discovery claim suggest date base date fluvial sediment independently verify,3
41,old hominin fossil remain indian subcontinent homo erectus homo heidelbergensis narmada valley central india date approximately half million year ago,5
42,old fossil find claim consider unreliable,5
43,review archaeological evidence suggest occupation indian subcontinent hominins sporadic approximately year ago geographically widespread approximately year present point onward archaeological evidence proto human presence widely mention,4
44,,5
45,accord historical demographer south asia tim dyson modern human beingshomo sapiensoriginated africa,0
46,intermittently sometime year ago tiny group begin enter north west indian subcontinent,4
47,seem likely initially come way coast,0
48,,5
49,virtually certain homo sapiens subcontinent year ago even though early fossil find date year present,2
50,,5
51,accord michael petraglia bridget allchin chromosome mt dna data support colonization south asia modern human originate africa,1
52,,5
53,coalescence date non european population average ka,2
54,accord environmental historian south asia michael fisher scholar estimate first successful expansion homo sapiens range beyond africa across arabian peninsula occur early year ago late year ago although may prior unsuccessful emigration,2
55,descendant extend human range ever generation spread habitable land encounter,5
56,one human channel along warm productive coastal land persian gulf northern indian ocean,3
57,eventually various band enter india year ago year ago,4
58,archaeological evidence interpret suggest presence anatomically modern human indian subcontinent year ago although interpretation dispute occupation south asia modern human long time initially vary form isolation hunter gatherer turn highly diverse one second africa human genetic diversity,4
59,accord tim dyson genetic research contribute knowledge prehistory subcontinent people respect,0
60,particular level genetic diversity region extremely high,4
61,indeed africa population genetically diverse,1
62,relate strong evidence founder event subcontinent,1
63,meant circumstance subgroupsuch tribederives tiny number original individual,5
64,compare world region subcontinent people relatively distinct practise comparatively high level endogamy neolithic,4
65,settle life emerge subcontinent western margin indus river alluvium approximately year ago evolve gradually indus valley civilisation third millennium bce,5
66,accord tim dyson year ago agriculture firmly establish baluchistan,0
67,next year practice farm slowly spread eastward indus valley,3
68,,5
69,accord michael fisher early discover instance well establish settle agricultural society mehrgarh hill bolan pas indus plain today pakistan see map,0
70,early bce community start invest increase labor prepare land select plant tend harvest particular grain produce plant,5
71,also domesticate animal include sheep goat pig ox hump zebu bos indicus unhumped bos taurus,2
72,castrate oxen instance turn mainly meat source domesticate draft animal well bronze age first urbanisation c c bce,5
73,indus valley civilisation dholavira city indus valley civilisation stepwell step reach water level artificially construct reservoir,5
74,archaeological remain washroom drainage system lothal bronze age indian subcontinent begin around bce,5
75,along ancient egypt mesopotamia indus valley region one three early cradle civilization old world,5
76,three indus valley civilization expansive peak may population five million civilization primarily center modern day pakistan indus river basin secondarily ghaggar hakra river basin eastern pakistan northwestern india,3
77,mature indus civilization flourish bce mark begin urban civilization indian subcontinent,5
78,civilization include city harappa ganeriwala mohenjo daro modern day pakistan dholavira kalibangan rakhigarhi lothal modern day india,5
79,inhabitant ancient indus river valley harappans,2
80,developed new technique metallurgy handicraft carneol product seal carve produce copper bronze lead tin,0
81,civilization note city build brick roadside drainage system multi storeyed house think kind municipal organisation collapse indus valley civilization inhabitant indus valley civilization migrate river valley indus ghaggar hakra towards himalayan foothill ganga yamuna basin ochre colour pottery culture,5
82,nd millennium bce ochre colour pottery culture ganga yamuna doab region,2
83,rural settlement agriculture practice hunt,3
84,use copper tool axe spear arrow antenna sowrd etc,2
85,people domisticated cattle goat sheep horse pig dog etc site gain attention bronze age solid disk wheel cart find interpreted horse pull chariot note iron age bce vedic period c bce,2
86,vedic period period veda compose liturgical hymn indo aryan people,1
87,vedic culture locate part north west india part india distinct cultural identity period,5
88,vedic culture describe texts veda still sacred hindus orally compose transmit vedic sanskrit,1
89,vedas old extant text india,5
90,vedic period last bce contribute foundation several cultural aspect indian subcontinent,0
91,term culture many region indian subcontinent transition chalcolithic iron age period,1
92,vedic society early th century manuscript devanagari script rigveda originally transmit orally fidelity historian analyse vedas posit vedic culture punjab region upper gangetic plain,1
93,historian also consider period encompass several wave indo aryan migration indian subcontinent north west peepal tree cow sanctify time atharva veda,0
94,many concept indian philosophy espouse later like dharma trace root vedic antecedent,2
95,early vedic society describe rigveda old vedic text believe compile nd millennium bce northwestern region indian subcontinent,1
96,time aryan society consist largely tribal pastoral group distinct harappan urbanization abandon,3
97,early indo aryan presence probably correspond part ochre colour pottery culture archaeological context,4
98,end rigvedic period aryan society begin expand northwestern region indian subcontinent western ganges plain,0
99,become increasingly agricultural socially organise around hierarchy four varna social class,0
100,social structure characterize syncretise native culture northern india also eventually exclude indigenous people label occupation impure,3
101,period many previous small tribal unit chiefdoms begin coalesce janapadas monarchical state level polity,1
102,,5
103,janapadas panchala kosala videha,5
104,late vedic era map show boundary āryāvarta janapadas northern india begin iron age kingdom india kuru iron age indian subcontinent bce th century bce define rise janapadas realm republic kingdomsnotably iron age kingdom kuru panchala kosala videha,5
105,kuru kingdom first state level society vedic period correspond begin iron age northwestern india around bce well composition atharvaveda first indian text mention iron śyāma ayas literally black metal,1
106,kuru state organise vedic hymn collection develop orthodox srauta ritual uphold social order two key figure kuru state king parikshit successor janamejaya transform realm dominant political social cultural power northern iron age india kuru kingdom decline centre vedic culture shift eastern neighbour panchala kingdom,1
107,archaeological pgw paint grey ware culture flourish haryana western uttar pradesh region northern india bce believe correspond kuru panchala kingdom late vedic period kingdom videha emerge new centre vedic culture situate even far east today nepal bihar state india reach prominence king janaka whose court provide patronage brahmin sag philosopher yajnavalkya aruni gargi vachaknavi,1
108,later part period correspond consolidation increasingly large state kingdom call mahajanapadas across northern india,5
109,second urbanisation bce city kushinagar th century bce accord st century bce frieze sanchi stupa southern gate,5
110,,5
111,time bce śramaṇa movement form originated jainism buddhism,0
112,period first upanishads write,0
113,bce call second urbanisation start new urban settlement arise ganges plain especially central ganges plain,0
114,foundation second urbanisation lay prior bce paint grey ware culture ghaggar hakra upper ganges plain although pgw site small farming village several dozen pgw sit eventually emerge relatively large settlement characterize towns large fortified ditch moat embankment make piled earth wooden palisade albeit small simpler elaborately fortify large city grow bce northern black polish ware culture central ganges plain magadha gain prominence form base mauryan empire distinct cultural area new state arise bce call second urbanisation note influence vedic culture differ markedly kuru panchala region,0
115,area early know cultivation rice south asia bce location advance neolithic population associate site chirand chechar,0
116,region śramaṇic movement flourish jainism buddhism originate,0
117,buddhism jainism around bce bce witness composition early upanishad,0
118,upanishad form theoretical basis classical hinduism know vedanta conclusion veda increase urbanisation india th th century bce lead rise new ascetic śramaṇa movement challenge orthodoxy ritual mahavira c bce proponent jainism gautama buddha c bce founder buddhism prominent icon movement,0
119,śramaṇa give rise concept cycle birth death concept samsara concept liberation buddha find middle way ameliorate extreme asceticism find śramaṇa religion around time mahavira th tirthankara jainism propagate theology later become jainism,0
120,however jain orthodoxy believe teaching tirthankaras predates know time scholar believe parshvanatha c c bce accord status rd tirthankara historical figure,0
121,veda believe documented tirthankaras ascetic order similar śramaṇa movement sanskrit epic sanskrit epic ramayana mahabharata compose period,0
122,mahabharata remain today long single poem world historians formerly postulate epic age milieu two epic poem recognize text familiar go multiple stage development century,0
123,instance mahabharata may base small scale conflict possibly bce eventually transform gigantic epic war bard poet,5
124,conclusive proof archaeology whether specific event mahabharata historical basis,1
125,exist text epic believe belong post vedic age c bce ce,0
126,mahajanapadas mahajanapadas sixteen powerful vast kingdom republic era locate mainly across indo gangetic plain period c bce c bce witness rise mahajanapadas sixteen powerful vast kingdom oligarchic republic,5
127,mahajanapadas evolve flourished belt stretch gandhara northwest bengal eastern part indian subcontinent include part trans vindhyan region,5
128,ancient buddhist text like anguttara nikaya make frequent reference sixteen great kingdom republicsanga assaka avanti chedi gandhara kashi kamboja kosala kuru magadha malla matsya machcha panchala surasena vriji vatsa,1
129,period saw second major rise urbanism india indus valley civilisation,5
130,early republic gaṇa sangha shakyas koliyas mallas licchavis republican government,4
131,gaṇa sanghas mallas center city kusinagara vajjian confederacy vajji center city vaishali exist early th century bce persist area th century ce famous clan amongst rule confederate clan vajji mahajanapada licchavis period correspond archaeological context northern black polish ware culture,3
132,especially focused central ganges plain also spread across vast area northern central indian subcontinent culture characterize emergence large city massive fortification significant population growth increase social stratification wide range trade network construction public architecture water channel specialize craft industry e g ivory carnelian carving system weight punch mark coin introduction write form brahmi kharosthi script,3
133,language gentry time sanskrit languages general population northern india refer prakrit,3
134,many sixteen kingdom coalesce four major one bce time gautama buddha,0
135,four vatsa avanti kosala magadha,1
136,life gautama buddha mainly associate four kingdom,5
137,early magadha dynasty magadha form one sixteen mahā janapadas sanskrit great realm kingdom ancient india,0
138,core kingdom area bihar south ganges first capital rajagriha modern rajgir,1
139,pataliputra modern patna,4
140,magadha expand include bihar bengal conquest licchavi anga respectively follow much eastern uttar pradesh orissa,5
141,ancient kingdom magadha heavily mention jain buddhist text,1
142,also mention ramayana mahabharata purana early reference magadha people occur atharva veda find list along angas gandharis mujavats,0
143,magadha play important role development jainism buddhism,0
144,magadha kingdom include republican community community rajakumara,5
145,village assembly local chief call gramakas,0
146,administration divide executive judicial military function,5
147,,5
148,early source buddhist pāli canon jain agama hindu purana mention magadha rule haryanka dynasty year c bce,0
149,king bimbisara haryanka dynasty lead active expansive policy conquer anga eastern bihar west bengal,0
150,king bimbisara overthrown kill son prince ajatashatru continue expansionist policy magadha,0
151,period gautama buddha founder buddhism live much life magadha kingdom,0
152,attain enlightenment bodh gaya give first sermon sarnath first buddhist council hold rajgriha,4
153,haryanka dynasty overthrown shishunaga dynasty,0
154,last shishunaga ruler kalasoka assassinate mahapadma nanda bce first call nine nandas mahapadma eight son,0
155,nanda empire alexander campaign,1
156,nanda empire great extent extend bengal east punjab region west far south vindhya range,5
157,nanda dynasty famed great wealth,0
158,nanda dynasty build foundation lay haryanka shishunaga predecessor create first great empire north india,0
159,achieve objective build vast army consist infantry cavalry war chariot war elephant low estimate,1
160,accord greek historian plutarch size nanda army even large number infantry cavalry war chariot war elephant,1
161,however nanda empire opportunity see army face alexander great invaded north western india time dhana nanda since alexander force confine campaign plain punjab sindh force mutiny river beas refuse go upon encounter nanda gangaridai force maurya empire maurya empire bce unify indian subcontinent one state large empire ever exist indian subcontinent,5
162,great extent mauryan empire stretch north natural boundary himalayas east assam,1
163,west reach beyond modern pakistan hindu kush mountains afghanistan,5
164,empire establish chandragupta maurya assist chanakya kautilya magadha modern bihar overthrow nanda dynasty chandragupta rapidly expand power westward across central western india bce empire fully occupied northwestern india,0
165,mauryan empire defeat seleucus diadochus founder seleucid empire seleucidmauryan war thus gain additional territory west indus river,1
166,chandragupta son bindusara succeed throne around bce,0
167,time die c bce large part indian subcontinent mauryan suzerainty,5
168,however region kalinga around modern day odisha remain outside mauryan control perhaps interfere trade south,5
169,bindusara succeed ashoka whose reign last around year death bce,0
170,campaign kalingans bce though successful lead immense loss life misery,5
171,fill ashoka remorse lead shun violence subsequently embrace buddhism,0
172,empire begin decline death last mauryan ruler brihadratha assassinate pushyamitra shunga establish shunga empire,0
173,,5
174,chandragupta maurya successor internal external trade agriculture economic activity thrive expand across india thanks creation single efficient system finance administration security,5
175,mauryans build grand trunk road one asia old long major road connect indian subcontinent central asia kalinga war empire experience nearly half century peace security ashoka,5
176,mauryan india also enjoy era social harmony religious transformation expansion science knowledge,0
177,chandragupta maurya embrace jainism increase social religious renewal reform across society ashoka embrace buddhism say foundation reign social political peace non violence across india,0
178,ashoka sponsor spread buddhist missionary sri lanka southeast asia west asia north africa mediterranean europe,5
179,arthashastra edict ashoka primary write record mauryan time,3
180,archaeologically period fall era northern black polish ware,0
181,mauryan empire base modern efficient economy society,5
182,however sale merchandise closely regulated government although banking mauryan society usury customary,3
183,significant amount write record slavery find suggest prevalence thereof,1
184,period high quality steel call wootz steel develop south india later export china arabia,0
185,,5
186,sangam period sangam period tamil literature flourish rd century bce th century ce,0
187,period three tamil dynasty collectively know three crowned king tamilakam chera dynasty chola dynasty pandyan dynasty rule part southern india,5
188,,5
189,sangam literature deal history politics war culture tamil people period scholar sangam period rise among common people sought patronage tamil king mainly write common people concern,0
190,unlike sanskrit writer mostly brahmins sangam writer come diverse class social background mostly non brahmin,0
191,belong different faith profession farmer artisans merchant monk priest include also royalty woman around c bce c ce pathupattu anthology ten mid length book collection consider part sangam literature compose composition eight anthology poetic work ettuthogai well composition eighteen minor poetic work patiṉeṇkīḻkaṇakku tolkāppiyam early grammarian work tamil language develop,0
192,also sangam period two five great epic tamil literature compose,0
193,ilango adigal compose silappatikaram non religious work revolves around kannagi lose husband miscarriage justice court pandyan dynasty wreaks revenge kingdom manimekalai compose sīthalai sāttanār sequel silappatikaram tell story daughter kovalan madhavi become buddhist bikkuni classical early medieval period c bce c ce,0
194,time maurya empire rd century bce end gupta empire th century ce refer classical period india divide various sub period depend chosen periodisation,0
195,classical period begin decline maurya empire correspond rise shunga dynasty satavahana dynasty,0
196,gupta empire th th century regard golden age hinduism although host kingdom rule india century,5
197,also sangam literature flourish rd century bce rd century ce southern india,0
198,period india economy estimate large world one third one quarter world wealth ce ce early classical period c bce c ce,5
199,shunga empire shunga empire east gateway railing bharhut stupa nd century bce,5
200,shunga royal family st century bce,5
201,,5
202,shungas originate magadha control area central eastern indian subcontinent around bce,0
203,dynasty establish pushyamitra shunga overthrow last maurya emperor,0
204,capital pataliputra later emperor bhagabhadra also hold court vidisha modern besnagar eastern malwa pushyamitra shunga rule year succeed son agnimitra,0
205,ten shunga ruler,0
206,however death agnimitra empire rapidly disintegrate inscription coin indicate much northern central india consist small kingdom city state independent shunga hegemony,5
207,empire note numerous war foreign indigenous power,0
208,fought battle mahameghavahana dynasty kalinga satavahana dynasty deccan indo greek possibly panchalas mitra mathura,1
209,,5
210,art education philosophy form learn flowered period include small terracotta image large stone sculpture architectural monument stupa bharhut renowned great stupa sanchi,5
211,shunga ruler help establish tradition royal sponsorship learn art,0
212,script use empire variant brahmi use write sanskrit language,1
213,shunga empire play imperative role patronise indian culture time important development hindu think take place,5
214,help empire flourish gain power,5
215,satavahana empire śātavāhanas base amaravati andhra pradesh well junnar pune prathisthan paithan maharashtra,3
216,territory empire cover large part india st century bce onward,5
217,sātavāhanas start feudatory mauryan dynasty declare independence decline,1
218,,5
219,sātavāhanas know patronage hinduism buddhism result buddhist monument ellora unesco world heritage site amaravati,2
220,one first indian state issue coin strike ruler emboss,1
221,form cultural bridge play vital role trade well transfer idea culture indo gangetic plain southern tip india,1
222,compete shunga empire kanva dynasty magadha establish rule,0
223,later play crucial role protect large part india foreign invader like sakas yavanas pahlavas,0
224,particular struggle western kshatrapas go long time,4
225,notable ruler satavahana dynasty gautamiputra satakarni sri yajna sātakarni able defeat foreign invader like western kshatrapas stop expansion,2
226,rd century ce empire split small state trade travel india kushan empire kushan empire kushan territory full line maximum extent kushan dominion kanishka dot line accord rabatak inscription,1
227,depiction buddha kanishka coinage mathura art nd century ce,5
228,kushan empire expand afghanistan northwest indian subcontinent leadership first emperor kujula kadphises middle st century ce,5
229,kushans possibly tocharian speaking tribe one five branch yuezhi confederation,2
230,time grandson kanishka great empire spread encompass much afghanistan northern part indian subcontinent least far saketa sarnath near varanasi banaras,5
231,emperor kanishka great patron buddhism however kushans expanded southward deity later coinage come reflect new hindu majority play important role establishment buddhism india spread central asia china,0
232,historian vincent smith say kanishka played part second ashoka history buddhism empire link indian ocean maritime trade commerce silk road indus valley encourage long distance trade particularly china rome,5
233,kushans bring new trend bud blossom gandhara art mathura art reach peak kushan rule h g rowlinson comment kushan period fit prelude age guptas rd century empire india disintegrate last known great emperor vasudeva classical period gupta empire c ce gupta empire gupta empire expansion ce ce,5
234,current structure mahabodhi temple date gupta era th century ce,3
235,mark location buddha say attained enlightenment,4
236,gupta period note cultural creativity especially literature architecture sculpture paint gupta period produce scholar kalidasa aryabhata varahamihira vishnu sharma vatsyayana make great advancement many academic field,0
237,gupta period mark watershed indian culture guptas perform vedic sacrifice legitimise rule also patronise buddhism continue provide alternative brahmanical orthodoxy,0
238,military exploit first three ruler chandragupta samudragupta chandragupta ii bring much india leadership science political administration reach new height gupta era,0
239,strong trade tie also make region important cultural centre establish base would influence nearby kingdom region burma sri lanka maritime southeast asia indochina,1
240,latter guptas successfully resist northwestern kingdom arrival alchon hun establish afghanistan first half th century ce capital bamiyan,5
241,however much deccan southern india largely unaffected event north vakataka empire vākāṭaka empire originate deccan mid third century ce,5
242,state believe extended southern edge malwa gujarat north tungabhadra river south well arabian sea western edge chhattisgarh east,5
243,important successor satavahanas deccan contemporaneous guptas northern india succeed vishnukundina dynasty,0
244,vakatakas note patron art architecture literature,3
245,lead public work monument visible legacy,1
246,rock cut buddhist viharas chaityas ajanta cave unesco world heritage site build patronage vakataka emperor harishena ajanta cave rock cut buddhist cave monument build vakatakas,2
247,buddhist monk pray front dagoba chaitya cave ajanta cave,1
248,buddhist chaitya griha prayer hall seat buddha cave ajanta cave,1
249,many foreign ambassador representative traveler include devotee attend buddha descent trayastrimsa heaven paint cave ajanta cave,1
250,kamarupa kingdom copper plate seal kamarupa king madan kamdev ruin,1
251,,5
252,samudragupta th century allahabad pillar inscription mention kamarupa western assam davaka central assam frontier kingdom gupta empire,1
253,davaka later absorb kamarupa grow large kingdom span karatoya river near present sadiya cover entire brahmaputra valley north bengal part bangladesh time purnea part west bengal rule three dynasty varmanas c ce mlechchha dynasty c ce kamarupa palas c ce capital present day guwahati pragjyotishpura tezpur haruppeswara north gauhati durjaya respectively,5
254,three dynasty claim descent narakasura immigrant aryavarta,5
255,reign varman king bhaskar varman c ce chinese traveller xuanzang visit region record travel,3
256,later weaken disintegration kamarupa palas kamarupa tradition somewhat extend c ce lunar c ce lunar ii c ce dynasty,5
257,kamarupa kingdom come end middle th century khen dynasty sandhya kamarupanagara north guwahati move capital kamatapur north bengal invasion muslim turk establish kamata kingdom,5
258,pallava empire pallavas th th century alongside guptas north great patronisers sanskrit development south indian subcontinent,5
259,pallava reign saw first sanskrit inscription script call grantha early pallavas different connexion southeast asian country,4
260,pallavas use dravidian architecture build important hindu temple academy mamallapuram kanchipuram place rule saw rise great poet,5
261,practice dedicate temple different deity come vogue follow fine artistic temple architecture sculpture style vastu shastra pallavas reach height power reign mahendravarman ce narasimhavarman ce dominate telugu northern part tamil region six hundred year end th century kadamba empire shikara tower kalasa pinnacle top kadamba tower pinnacle top doddagaddavalli kadambas originate karnataka found mayurasharma ce later time show potential develop imperial proportion indication provide title epithet assume ruler,3
262,king mayurasharma defeat army pallavas kanchi possibly help native tribe,1
263,kadamba fame reach peak rule kakusthavarma notable ruler even king gupta dynasty northern india cultivate marital alliance,0
264,kadambas contemporary western ganga dynasty together form early native kingdom rule land absolute autonomy,5
265,dynasty later continue rule feudatory large kannada empires chalukya rashtrakuta empires five hundred year time branch minor dynasty know kadambas goa kadambas halasi kadambas hangal,0
266,,5
267,empire harsha harsha rule northern india ce,5
268,son prabhakarvardhana young brother rajyavardhana member vardhana dynasty rule thanesar present day haryana,3
269,,5
270,downfall prior gupta empire middle th century north india revert small republic monarchical state,5
271,power vacuum result rise vardhanas thanesar begin unite republic monarchy punjab central india,5
272,death harsha father brother representative empire crown harsha emperor assembly april ce give title maharaja merely year old,3
273,height power empire cover much north northwestern india extend east kamarupa south narmada river eventually make kannauj present uttar pradesh state capital rule ce peace prosperity prevail make court centre cosmopolitanism attract scholar artists religious visitor far wide,5
274,time harsha convert buddhism surya worship chinese traveller xuanzang visit court harsha write favourable account praise justice generosity,3
275,biography harshacharita deeds harsha write sanskrit poet banabhatta describe association thanesar besides mention defence wall moat palace two storied dhavalagriha white mansion early medieval period mid th c ce,1
276,early medieval india begin end gupta empire th century ce,5
277,period also cover late classical age hinduism begin end gupta empire collapse empire harsha th century ce begin imperial kannauj lead tripartite struggle end th century rise delhi sultanate northern india end later cholas death rajendra chola iii southern india however aspects classical period continue fall vijayanagara empire south around th century,5
278,,5
279,fifth century thirteenth śrauta sacrifice decline initiatory tradition buddhism jainism commonly shaivism vaishnavism shaktism expand royal court,0
280,period produce india fine art consider epitome classical development development main spiritual philosophical system continue hinduism buddhism jainism,5
281,,5
282,th century ce kumārila bhaṭṭa formulate school mimamsa philosophy defend position vedic ritual buddhist attack,2
283,scholar note bhaṭṭa contribution decline buddhism india,0
284,th century adi shankara travel across indian subcontinent propagate spread doctrine advaita vedanta consolidate credit unifying main characteristic current thought hinduism,5
285,critic buddhism minamsa school hinduism found mathas monastery four corner indian subcontinent spread development advaita vedanta,5
286,muhammad bin qasim invasion sindh modern pakistan ce witness decline buddhism,5
287,chach nama record many instance conversion stupa mosque nerun th th century three dynasty contest control northern india gurjara pratiharas malwa palas bengal rashtrakutas deccan,1
288,sena dynasty would later assume control pala empire gurjara pratiharas fragment various state notably paramaras malwa chandelas bundelkhand kalachuris mahakoshal tomaras haryana chauhans rajputana state earliest rajput kingdom rashtrakutas annexed western chalukyas,1
289,period chaulukya dynasty emerge chaulukyas construct dilwara temple modhera sun temple rani ki vav style māru gurjara architecture capital anhilwara modern patan gujarat one large city indian subcontinent population estimate ce,5
290,chola empire emerge major power reign raja raja chola rajendra chola successfully invaded part southeast asia sri lanka th century lalitaditya muktapida r ce emperor kashmiri karkoṭa dynasty exercise influence northwestern india ce follow lohara dynasty,5
291,kalhana rajatarangini credit king lalitaditya lead aggressive military campaign northern india central asia hindu shahi dynasty rule portion eastern afghanistan northern pakistan kashmir mid th century early th century,5
292,odisha eastern ganga empire rise power note advancement hindu architecture notable jagannath temple konark sun temple well patron art literature,3
293,chalukya empire,5
294,,5
295,chalukya empire rule large part southern central india th th century,5
296,period rule three relate yet individual dynasty,5
297,early dynasty know badami chalukyas rule vatapi modern badami middle th century,5
298,badami chalukyas begin assert independence decline kadamba kingdom banavasi rapidly rise prominence reign pulakeshin ii,3
299,rule chalukyas mark important milestone history south india golden age history karnataka,4
300,political atmosphere south india shift small kingdom large empire ascendancy badami chalukyas,5
301,southern india base kingdom take control consolidated entire region kaveri narmada river,5
302,rise empire saw birth efficient administration overseas trade commerce development new style architecture call chalukyan architecture,5
303,chalukya dynasty rule part southern central india badami karnataka kalyani,5
304,rashtrakuta empire found dantidurga around rashtrakuta empire rule capital manyakheta almost two century,1
305,peak rashtrakutas rule ganges river yamuna river doab north cape comorin south fruitful time political expansion architectural achievement famous literary contribution early ruler dynasty hindu later ruler strongly influence jainism,5
306,govinda iii amoghavarsha famous long line able administrator produce dynasty,0
307,amoghavarsha rule year also author write kavirajamarga early know kannada work poetics,0
308,architecture reach milestone dravidian style fine example see kailasanath temple ellora,2
309,important contribution kashivishvanatha temple jain narayana temple pattadakal karnataka,3
310,,5
311,arab traveller suleiman describe rashtrakuta empire one four great empire world,5
312,rashtrakuta period mark begin golden age southern indian mathematics,5
313,great south indian mathematician mahāvīra live rashtrakuta empire text huge impact medieval south indian mathematician live rashtrakuta ruler also patronise men letter write variety language sanskrit apabhraṃśas gurjara pratihara empire gurjara pratiharas instrumental contain arab army move east indus river,1
314,nagabhata defeat arab army junaid tamin caliphate campaign india,1
315,nagabhata ii gurjara pratiharas become powerful dynasty northern india,1
316,succeed son ramabhadra rule briefly succeed son mihira bhoja,0
317,bhoja successor mahendrapala pratihara empire reach peak prosperity power,5
318,time mahendrapala extent territory rival gupta empire stretch border sindh west bengal east himalayas north area past narmada south,5
319,expansion trigger tripartite power struggle rashtrakuta pala empires control indian subcontinent,1
320,period imperial pratihara take title maharajadhiraja āryāvarta great king king india,5
321,,5
322,th century several feudatory empire take advantage temporary weakness gurjara pratiharas declare independence notably paramaras malwa chandelas bundelkhand kalachuris mahakoshal tomaras haryana chauhans rajputana,1
323,gahadavala dynasty gahadavala dynasty rule part present day indian state uttar pradesh bihar th th century,5
324,capital locate varanasi gangetic plain,1
325,khayaravala dynasty khayaravala dynasty rule part present day indian state bihar jharkhand th th century,5
326,capital locate khayaragarh shahabad district,4
327,pratapdhavala shri pratapa king dynasty accord inscription rohtas pala empire excavate ruin nalanda centre buddhist learn ce,1
328,,5
329,pala empire found gopala,5
330,rule buddhist dynasty bengal eastern region indian subcontinent,5
331,palas reunify bengal fall shashanka gauda kingdom palas follower mahayana tantric school buddhism also patronise shaivism vaishnavism morpheme pala meaning protector use end names pala monarch,5
332,empire reach peak dharmapala devapala,3
333,dharmapala believe conquered kanauj extend sway farthest limit india northwest pala empire consider golden era bengal many way,5
334,dharmapala found vikramashila revive nalanda consider one first great university record history,3
335,nalanda reach height patronage pala empire palas also build many viharas,5
336,maintain close cultural commercial tie country southeast asia tibet,1
337,sea trade add greatly prosperity pala empire,5
338,arab merchant suleiman note enormity pala army memoir cholas medieval cholas rise prominence middle th century ce establish great empire south india see successfully united south india rule naval strength extend influence southeast asian country srivijaya rajaraja chola successor rajendra chola rajadhiraja chola virarajendra chola kulothunga chola,5
